问题触发时间,地市,区县,TAC(LAC),数据来源,问题归类(二级),类别要素,主指标表征值,处理优先级,是否为FDD站点,是否指纹库智能分析系统运算,是否列为白名单,是否为性能交维站点,资管生命周期状态,劣化次数,告警触发次数,日均流量(GB),业务要素,场景要素,覆盖类型,覆盖场景,中心经度,中心维度,厂家名称,自愈状态
8月,金华,兰溪,26752,北向性能,无线接通质差,质量,97.01,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,119.411,29.249,诺基亚,派单
8月,金华,兰溪,26772,北向性能,无线接通质差,质量,96.24,高,否,否,否,是,现网,4,4,0,数据,室外,室外,低层居民区,119.477,29.204,诺基亚,派单
8月,金华,磐安,22422,北向性能,无线接通质差,质量,96.6,高,否,否,否,是,现网,3,5,0,数据,室外,室外,村庄,120.567,28.981,诺基亚,派单
10月,金华,磐安,22422,北向性能,无线掉线质差,质量,2.39,高,否,是,否,是,现网,4,18,0,数据,室外,室外,村庄,120.567,28.981,诺基亚,派单
10月,金华,东阳,26631,北向性能,无线切换质差,质量,87.94,高,否,是,否,是,现网,5,15,0.02,数据,室外,室外,写字楼,120.253,29.287,诺基亚,派单
10月,金华,磐安,26778,SEQ,CSFB回落质差,质量,93.51,高,否,否,否,是,现网,5,5,0.03,语音,室外,室外,村庄,120.675,29.223,诺基亚,派单
9月,金华,武义,26635,北向性能,无线接通质差,质量,95.39,高,否,是,否,是,现网,5,4,0.01,数据,室外,室外,国道省道,119.906,28.867,诺基亚,派单
9月,金华,武义,26635,SEQ,CSFB回落质差,质量,94.8,高,否,否,否,是,现网,3,6,0.03,语音,室外,室外,工业园区,119.899,28.856,诺基亚,派单
8月,金华,婺城,26527,北向性能,无线接通质差,质量,96.66,高,否,否,否,是,现网,4,18,0,数据,室外,室外,乡镇,119.389,29.052,华为,派单
8月,金华,婺城,26527,北向性能,无线接通质差,质量,84.02,高,否,否,否,是,现网,5,17,0,数据,室外,室外,乡镇,119.389,29.052,华为,派单
7月,金华,义乌,22673,北向性能,无线掉线质差,质量,3.99,高,否,是,否,是,现网,5,7,0,数据,小微站,室外,村庄,119.964,29.301,华为,派单
10月,金华,永康,22677,北向性能,VOLTE接通质差,质量,94.15,高,否,否,否,是,现网,3,5,0.03,语音,小微站,室外,商业中心,120.069,28.908,诺基亚,派单
10月,金华,永康,22677,北向性能,无线接通质差,质量,93.39,高,否,否,否,是,现网,3,11,0.03,数据,小微站,室外,商业中心,120.069,28.908,诺基亚,派单
10月,金华,永康,22677,北向性能,无线切换质差,质量,87.94,高,否,否,否,是,现网,3,8,0.03,数据,小微站,室外,商业中心,120.069,28.908,诺基亚,派单
10月,金华,永康,26638,北向性能,无线接通质差,质量,87.32,高,否,否,否,是,现网,4,9,0,数据,室外,室外,村庄,120.212,29.023,诺基亚,派单
8月,金华,兰溪,26525,北向性能,SRVCC切换质差,互操作,82.95,高,否,是,否,是,现网,5,6,0,语音,小微站,室外,低层居民区,119.463,29.215,诺基亚,派单
8月,金华,义乌,26556,北向性能,RRC重建比质差,质量,12.92,高,否,否,否,是,现网,3,2,0,数据,室外,室外,村庄,120.065,29.408,华为,派单
8月,金华,东阳,26557,北向性能,无线切换质差,质量,82.6,高,否,否,否,是,现网,5,18,0,数据,小微站,室外,城中村,120.239,29.259,诺基亚,派单
7月,金华,婺城,22424,北向性能,RRC重建比质差,质量,13.14,高,否,否,否,是,现网,4,3,0.01,数据,室外,室外,低层居民区,119.628,29.105,华为,派单
9月,金华,武义,26634,北向性能,无线接通质差,质量,96.67,高,否,是,否,是,现网,4,8,0,数据,室外,室外,村庄,119.733,28.956,诺基亚,派单
8月,金华,兰溪,22686,北向性能,VOLTE掉话质差,感知,3.6,高,否,否,否,是,现网,4,17,0.01,语音,室外,室外,村庄,119.459,29.303,诺基亚,派单
8月,金华,兰溪,22686,北向性能,VOLTE掉话质差,感知,15.22,高,否,否,否,是,现网,5,13,0,语音,室外,室外,村庄,119.459,29.303,诺基亚,派单
9月,金华,义乌,26516,北向性能,RRC重建比质差,质量,14.73,高,否,否,否,是,现网,4,9,0.01,数据,室外,室外,低层居民区,120.084,29.293,华为,派单
9月,金华,东阳,22431,北向性能,无线切换质差,质量,78.25,高,否,是,否,是,现网,4,7,0.01,数据,小微站,室外,乡镇,120.276,29.305,诺基亚,派单
8月,金华,义乌,26756,北向性能,无线切换质差,质量,92.8,高,否,否,否,是,现网,3,4,0.02,数据,室外,室外,村庄,120.037,29.257,华为,派单
8月,金华,金东,26775,北向性能,无线切换质差,质量,91.7,高,否,否,否,是,现网,4,6,0.01,数据,室外,室外,乡镇,119.788,29.167,华为,派单
7月,金华,兰溪,22686,北向性能,VOLTE掉话质差,感知,3.18,高,否,否,否,是,现网,4,11,0.01,语音,室外,室外,村庄,119.438,29.311,诺基亚,派单
7月,金华,浦江,22421,北向性能,无线掉线质差,质量,8.49,高,否,是,否,是,现网,6,7,0,数据,小微站,室外,村庄,119.913,29.539,诺基亚,派单
7月,金华,义乌,26556,北向性能,无线掉线质差,质量,2.49,高,否,是,否,是,现网,3,3,0,数据,室外,室外,村庄,120.25,29.495,华为,派单
10月,金华,东阳,22687,SEQ,CSFB回落质差,质量,54.24,高,否,否,否,是,维护,5,28,0.01,语音,室分,室内,国道省道,120.299,29.196,诺基亚,派单
8月,金华,浦江,26522,北向性能,VOLTE丢包质差,质量,4.74,高,否,否,否,是,现网,4,12,0,语音,室外,室外,工业园区,119.921,29.47,诺基亚,派单
9月,金华,浦江,22429,北向性能,无线掉线质差,质量,4.92,中,否,是,否,是,现网,4,1,0,数据,小微站,室外,村庄,120.044,29.442,诺基亚,派单
8月,金华,浦江,26777,北向性能,VOLTE丢包质差,质量,8.31,高,否,否,否,是,现网,4,17,0.01,语音,室外,室外,工业园区,120,29.432,诺基亚,派单
7月,金华,浦江,26777,北向性能,VOLTE丢包质差,质量,6.8,高,否,否,否,是,现网,7,25,0.02,语音,室外,室外,工业园区,120,29.432,诺基亚,派单
8月,金华,浦江,26777,北向性能,VOLTE丢包质差,质量,4.09,高,否,否,否,是,现网,3,19,0.02,语音,室外,室外,工业园区,120,29.432,诺基亚,派单
8月,金华,浦江,26777,北向性能,VOLTE丢包质差,质量,3.38,高,否,否,否,是,现网,3,3,0,语音,室外,室外,工业园区,120,29.432,诺基亚,派单
9月,金华,浦江,22672,北向性能,VOLTE掉话质差,感知,2.7,高,否,否,否,是,现网,3,9,0.01,语音,室外,室外,工业园区,119.946,29.453,诺基亚,派单
8月,金华,兰溪,26776,北向性能,无线接通质差,质量,94.38,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,乡镇,119.53,29.281,诺基亚,派单
9月,金华,永康,26523,北向性能,无线切换质差,质量,53.64,高,否,是,否,是,现网,4,15,0,数据,高速,室外,高速公路,120.176,28.794,诺基亚,派单
7月,金华,浦江,26522,北向性能,VOLTE丢包质差,质量,5.68,高,否,否,否,是,现网,3,7,0,语音,室外,室外,低层居民区,119.911,29.46,诺基亚,派单
7月,金华,浦江,26522,北向性能,VOLTE丢包质差,质量,5.84,高,否,否,否,是,现网,3,3,0.01,语音,室外,室外,工业园区,119.911,29.466,诺基亚,派单
8月,金华,浦江,22672,北向性能,VOLTE掉话质差,感知,10.1,高,否,否,否,是,现网,4,10,0,语音,室外,室外,工业园区,119.936,29.455,诺基亚,派单
8月,金华,永康,22423,北向性能,无线切换质差,质量,91.39,高,否,否,否,是,现网,5,8,0.01,数据,小微站,室外,村庄,119.969,28.873,诺基亚,派单
10月,金华,永康,26526,北向性能,无线接通质差,质量,94.55,高,否,否,否,是,现网,4,8,0.01,数据,小微站,室外,低层居民区,120.027,28.898,诺基亚,派单
10月,金华,永康,26526,北向性能,无线切换质差,质量,92.96,高,否,否,否,是,现网,4,7,0.01,数据,小微站,室外,低层居民区,120.027,28.898,诺基亚,派单
10月,金华,兰溪,26752,北向性能,RRC重建比质差,质量,17.12,高,否,否,否,是,现网,5,9,0,数据,室外,室外,工业园区,119.391,29.22,诺基亚,派单
10月,金华,浦江,26777,北向性能,无线接通质差,质量,93.36,高,否,是,否,是,现网,3,10,0,数据,室外,室外,村庄,119.803,29.401,诺基亚,派单
9月,绍兴,诸暨,26709,SEQ,CSFB回落质差,质量,76.38,高,否,否,否,是,现网,3,3,0.02,语音,室外,室外,村庄,120.22,29.738,华为,派单
7月,绍兴,诸暨,26710,北向性能,无线掉线质差,质量,5.76,高,否,是,否,是,现网,3,10,0,数据,室分,室内,高层居民区,120.239,29.695,华为,派单
9月,绍兴,诸暨,26710,北向性能,无线接通质差,质量,85.57,高,否,是,否,是,现网,6,15,0,数据,室分,室内,高层居民区,120.239,29.695,华为,派单
8月,绍兴,诸暨,26710,北向性能,无线接通质差,质量,90.4,高,否,否,否,是,现网,7,15,0,数据,室分,室内,高层居民区,120.239,29.695,华为,派单
7月,绍兴,上虞,22357,北向性能,无线切换质差,质量,92.99,高,否,否,否,是,现网,3,5,0,数据,室分,室内,商业中心,120.841,30.051,华为,派单
7月,绍兴,诸暨,22364,北向性能,无线切换质差,质量,93.6,高,否,否,否,是,现网,3,3,0.02,数据,室外,室外,村庄,120.138,29.555,华为,派单
7月,绍兴,上虞,22357,北向性能,无线切换质差,质量,92.47,高,否,否,否,是,现网,4,4,0.02,数据,室分,室内,高层居民区,120.846,30.05,华为,派单
9月,绍兴,诸暨,26709,北向性能,RRC重建比质差,质量,12.75,高,否,否,否,是,现网,3,3,0.01,数据,室分,室内,高层居民区,120.197,29.733,华为,派单
7月,绍兴,越城,26448,北向性能,无线切换质差,质量,93.2,高,否,否,否,是,现网,3,6,0,数据,室外,室外,城区道路,120.594,30.052,华为,派单
8月,绍兴,越城,26448,北向性能,无线切换质差,质量,92.06,高,否,否,否,是,现网,4,5,0.01,数据,室外,室外,城区道路,120.594,30.052,华为,派单
7月,绍兴,绍兴,22614,北向性能,无线切换质差,质量,92.28,高,否,否,否,是,现网,4,7,0.01,数据,室外,室外,城区道路,120.453,30.119,华为,派单
7月,绍兴,越城,26533,北向性能,无线切换质差,质量,88.73,高,否,否,否,是,现网,4,3,0.01,数据,小微站,室外,村庄,120.554,30.042,华为,派单
7月,绍兴,嵊州,22365,北向性能,无线切换质差,质量,90.58,高,否,否,否,是,现网,3,6,0.02,数据,室外,室外,企事业单位,120.847,29.764,华为,派单
7月,绍兴,诸暨,22359,北向性能,无线掉线质差,质量,2.71,高,否,是,否,是,现网,5,7,0,数据,室外,室外,低层居民区,120.117,29.651,华为,派单
7月,绍兴,上虞,22613,北向性能,无线切换质差,质量,88.93,高,否,否,否,是,现网,6,7,0.03,数据,室外,室外,村庄,120.704,30.187,华为,派单
8月,绍兴,上虞,22613,北向性能,无线切换质差,质量,81.41,高,否,否,否,是,现网,5,5,0.03,数据,室外,室外,村庄,120.704,30.187,华为,派单
8月,绍兴,诸暨,22364,北向性能,RRC重建比质差,质量,16.37,高,否,否,否,是,现网,4,5,0,数据,室外,室外,低层居民区,120.164,29.606,华为,派单
9月,绍兴,绍兴,22353,北向性能,无线切换质差,质量,92.48,高,否,是,否,是,现网,3,4,0.02,数据,室外,室外,低层居民区,120.436,30.099,华为,派单
7月,绍兴,绍兴,22363,北向性能,无线切换质差,质量,93.49,高,否,否,否,是,现网,5,5,0.01,数据,室外,室外,低层居民区,120.544,30.108,华为,派单
7月,绍兴,上虞,22357,北向性能,无线切换质差,质量,88.4,高,否,否,否,是,现网,5,5,0.01,数据,高速,室外,高速公路,120.899,30.051,华为,派单
9月,绍兴,诸暨,26457,北向性能,无线掉线质差,质量,1.62,中,否,否,否,是,现网,3,1,0,数据,室外,室外,村庄,120.347,29.556,华为,派单
7月,湖州,安吉,26414,北向性能,无线接通质差,质量,83.33,高,否,否,否,是,现网,5,7,0.01,数据,室外,室外,工业园区,119.691,30.655,华为,派单
7月,湖州,长兴,26540,北向性能,无线切换质差,质量,91.28,高,否,否,否,是,现网,5,6,0,数据,室外,室外,村庄,119.896,31.07,华为,派单
9月,湖州,长兴,22310,北向性能,无线切换质差,质量,92.85,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,村庄,119.966,31.037,华为,派单
7月,湖州,长兴,26540,北向性能,无线接通质差,质量,96.69,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,119.867,31.101,华为,派单
10月,湖州,长兴,26666,北向性能,无线切换质差,质量,76.01,高,否,是,否,是,现网,3,9,0,数据,室外,室外,村庄,119.985,30.953,华为,派单
8月,湖州,长兴,22315,北向性能,无线切换质差,质量,93.18,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,119.918,30.872,华为,派单
9月,湖州,安吉,26409,北向性能,无线掉线质差,质量,3.04,高,否,是,否,是,现网,6,4,0,数据,室外,室外,乡镇,119.363,30.539,华为,派单
8月,湖州,南浔,22306,北向性能,无线接通质差,质量,94.9,高,否,否,否,是,现网,4,8,0,数据,室外,室外,村庄,120.289,30.678,华为,派单
7月,湖州,德清,22313,北向性能,无线切换质差,质量,91.65,高,否,否,否,是,现网,5,3,0.01,数据,室外,室外,村庄,120.06,30.591,华为,派单
8月,湖州,安吉,26414,北向性能,无线切换质差,质量,93.01,高,否,否,否,是,现网,4,6,0.01,数据,室外,室外,村庄,119.705,30.828,华为,派单
7月,湖州,德清,22313,北向性能,无线切换质差,质量,91.86,中,否,否,否,是,现网,3,1,0.01,数据,室外,室外,工业园区,120.049,30.613,华为,派单
7月,湖州,南浔,26413,北向性能,无线切换质差,质量,76.88,高,否,否,否,是,现网,5,8,0.03,数据,室外,室外,工业园区,120.396,30.889,华为,派单
9月,湖州,吴兴,26415,北向性能,无线掉线质差,质量,1.95,中,否,是,否,是,现网,3,1,0.01,数据,室外,室外,村庄,120.192,30.827,华为,派单
10月,湖州,安吉,26409,北向性能,RRC重建比质差,质量,10.41,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,119.574,30.641,华为,派单
8月,舟山,定海,26786,北向性能,VOLTE接通质差,质量,94.46,高,否,否,否,是,现网,3,4,0,语音,小微站,室外,城区道路,122.109,30.027,华为,派单
9月,舟山,定海,22441,北向性能,无线掉线质差,质量,1.85,中,否,否,否,是,维护,3,1,0,数据,室外,室外,低层居民区,122.211,29.982,华为,派单
10月,舟山,定海,26784,北向性能,无线掉线质差,质量,5.28,高,否,是,否,是,现网,4,6,0,数据,室外,室外,低层居民区,122.096,30.017,华为,派单
10月,台州,椒江,26475,北向性能,无线切换质差,质量,91.6,高,否,否,否,是,现网,4,9,0,数据,室外,室外,工业园区,121.536,28.606,中兴,派单
9月,杭州,淳安,22696,北向性能,RRC重建比质差,质量,18.1,高,否,否,否,是,现网,7,20,0,数据,室外,室外,乡镇,119.045,29.606,中兴,派单
8月,杭州,西湖,22709,北向性能,无线切换质差,质量,91.42,高,否,否,否,是,现网,3,2,0.03,数据,室外,室外,低层居民区,120.087,30.277,华为,派单
8月,杭州,西湖,22709,北向性能,无线切换质差,质量,81.22,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,低层居民区,120.087,30.277,华为,派单
9月,杭州,下沙,22289,北向性能,VOLTE丢包质差,质量,5.68,高,否,否,否,是,现网,3,4,0.01,语音,高校,室外,高校,120.348,30.316,华为,派单
10月,杭州,拱墅,22542,北向性能,RRC重建比质差,质量,16.97,高,否,否,否,是,现网,4,4,0.02,数据,室外,室外,城区道路,120.143,30.292,华为,派单
7月,杭州,下沙,26643,SEQ,CSFB回落质差,质量,86.3,高,否,否,否,是,现网,3,10,0.02,语音,室分,室内,企事业单位,120.309,30.318,华为,派单
8月,杭州,余杭,22567,北向性能,无线切换质差,质量,89.2,高,否,否,否,是,现网,4,4,0,数据,室外,室外,低层居民区,119.978,30.238,华为,派单
10月,杭州,江干,22297,北向性能,无线掉线质差,质量,2.56,高,否,是,否,是,现网,3,4,0,数据,室外,室外,郊区道路,120.236,30.317,华为,派单
7月,杭州,江干,22710,SEQ,CSFB回落质差,质量,93.83,高,否,否,否,是,现网,3,9,0.04,语音,室分,室内,商业中心,120.227,30.356,华为,派单
7月,杭州,江干,22710,SEQ,CSFB回落质差,质量,94.23,高,否,否,否,是,现网,4,5,0.03,语音,室分,室内,商业中心,120.227,30.356,华为,派单
7月,杭州,萧山,22290,北向性能,RRC重建比质差,质量,15.79,高,否,否,否,是,现网,7,20,0,数据,室分,室内,城区道路,120.232,30.091,华为,派单
8月,杭州,萧山,22290,北向性能,RRC重建比质差,质量,15.93,高,否,否,否,是,现网,6,11,0.01,数据,室分,室内,城区道路,120.232,30.091,华为,派单
9月,杭州,萧山,22290,北向性能,RRC重建比质差,质量,15.76,高,否,否,否,是,现网,7,19,0.01,数据,室分,室内,城区道路,120.232,30.091,华为,派单
10月,杭州,萧山,22290,北向性能,RRC重建比质差,质量,18.17,高,否,否,否,是,现网,7,20,0.01,数据,室分,室内,城区道路,120.232,30.091,华为,派单
9月,杭州,萧山,22534,北向性能,无线接通质差,质量,95.53,高,否,是,否,是,现网,3,9,0,数据,小微站,室内,星级酒店,120.264,30.182,华为,派单
10月,杭州,萧山,22534,北向性能,无线接通质差,质量,96.49,高,否,是,否,是,现网,3,5,0,数据,室分,室内,星级酒店,120.264,30.182,华为,派单
9月,杭州,建德,22699,北向性能,无线接通质差,质量,96,高,否,是,否,是,现网,3,2,0,数据,室外,室外,乡镇,119.425,29.639,中兴,派单
8月,杭州,富阳,22719,北向性能,无线接通质差,质量,94.18,高,否,否,否,是,现网,7,19,0.02,数据,室外,室外,企事业单位,119.928,30.087,华为,派单
8月,杭州,富阳,22719,北向性能,RRC重建比质差,质量,17.86,高,否,否,否,是,现网,3,12,0.04,数据,室外,室外,企事业单位,119.928,30.087,华为,派单
8月,杭州,富阳,22719,北向性能,无线接通质差,质量,91.88,高,否,否,否,是,现网,7,19,0.03,数据,室外,室外,企事业单位,119.928,30.087,华为,派单
10月,杭州,富阳,22719,北向性能,无线接通质差,质量,97.41,高,否,是,否,是,现网,3,2,0,数据,室外,室外,企事业单位,119.928,30.087,华为,派单
8月,杭州,余杭,22569,北向性能,无线切换质差,质量,92.85,高,否,否,否,是,现网,5,5,0.01,数据,室外,室外,低层居民区,120.158,30.47,华为,派单
7月,杭州,下沙,22708,北向性能,无线切换质差,质量,89.71,高,否,否,否,是,现网,4,8,0.01,数据,室分,室内,党政军机关,120.301,30.344,华为,派单
10月,杭州,建德,22699,北向性能,无线切换质差,质量,88.17,高,否,否,否,是,现网,4,4,0,数据,室外,室外,乡镇,119.297,29.626,中兴,派单
10月,杭州,淳安,22697,北向性能,无线接通质差,质量,96.24,高,否,是,否,是,现网,3,11,0,数据,室外,室外,乡镇,118.835,29.62,中兴,派单
8月,杭州,淳安,22530,北向性能,无线接通质差,质量,95.5,高,否,否,否,是,现网,5,5,0,数据,室外,室外,乡镇,119.207,29.724,中兴,派单
9月,杭州,临安,22714,SEQ,CSFB回落质差,质量,93.53,高,否,否,否,是,现网,3,2,0.02,语音,室外,室外,低层居民区,118.983,30.311,华为,派单
9月,杭州,临安,22714,北向性能,无线切换质差,质量,91.42,高,否,是,否,是,现网,4,7,0.01,数据,室外,室外,村庄,118.918,30.236,华为,派单
8月,杭州,临安,22714,北向性能,VOLTE掉话质差,感知,3.34,高,否,否,否,是,现网,3,2,0,语音,室外,室外,国道省道,118.997,30.298,华为,派单
8月,杭州,临安,22711,北向性能,无线掉线质差,质量,2.95,高,否,是,否,是,现网,3,3,0,数据,室外,室外,村庄,119.328,30.049,华为,派单
7月,杭州,临安,22714,北向性能,无线掉线质差,质量,1.69,高,否,是,否,是,现网,3,2,0,数据,室外,室外,村庄,119.275,30.028,华为,派单
7月,杭州,临安,22537,北向性能,无线掉线质差,质量,3.77,高,否,是,否,是,现网,6,15,0,数据,室外,室外,村庄,119.589,30.25,华为,派单
9月,杭州,临安,22714,北向性能,无线切换质差,质量,92.02,高,否,是,否,是,现网,3,2,0.01,数据,室外,室外,村庄,119.032,30.164,华为,派单
7月,杭州,临安,22714,北向性能,无线接通质差,质量,96.97,高,否,否,否,是,现网,3,4,0,数据,室外,室外,村庄,119.097,30.085,华为,派单
7月,杭州,临安,22711,北向性能,无线掉线质差,质量,4.17,高,否,是,否,是,现网,5,5,0,数据,室外,室外,村庄,119.322,30.22,华为,派单
8月,杭州,余杭,22556,北向性能,VOLTE掉话质差,感知,2.21,高,否,否,否,是,现网,3,7,0.01,语音,室外,室外,风景区,119.754,30.388,华为,派单
7月,杭州,拱墅,22558,SEQ,语音质差,感知,9.06,高,否,否,否,是,现网,3,3,0.03,语音,室外,室外,会展中心,120.14,30.309,华为,派单
7月,杭州,江干,26643,北向性能,无线接通质差,质量,97.08,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,低层居民区,120.276,30.31,华为,派单
10月,杭州,江干,26643,北向性能,RRC重建比质差,质量,14.09,中,否,否,否,是,现网,3,1,0.01,数据,室外,室外,低层居民区,120.276,30.31,华为,派单
8月,杭州,滨江,22546,北向性能,无线接通质差,质量,96.16,高,否,否,否,是,现网,3,5,0.02,数据,室外,室外,低层居民区,120.196,30.2,华为,派单
8月,杭州,江干,22301,北向性能,无线接通质差,质量,95.56,高,否,否,否,是,现网,5,5,0.01,数据,室外,室外,城区道路,120.193,30.251,华为,派单
7月,杭州,下沙,22458,北向性能,无线掉线质差,质量,2,高,否,是,否,是,现网,3,2,0,数据,室分,室内,写字楼,120.337,30.332,华为,派单
9月,杭州,萧山,22531,北向性能,无线切换质差,质量,90.38,高,否,是,否,是,现网,4,4,0.03,数据,室分,室内,写字楼,120.289,30.25,华为,派单
10月,杭州,富阳,22551,北向性能,RRC重建比质差,质量,14.92,高,否,否,否,是,现网,4,11,0.01,数据,室外,室外,村庄,119.89,29.885,华为,派单
8月,杭州,拱墅,22539,SEQ,CSFB回落质差,质量,93.68,高,否,否,否,是,现网,3,6,0.03,语音,室外,室外,低层居民区,120.097,30.339,华为,派单
9月,杭州,萧山,22532,SEQ,CSFB回落质差,质量,93.81,高,否,否,否,是,现网,5,5,0.04,语音,室外,室外,村庄,120.313,30.181,华为,派单
8月,杭州,余杭,22450,北向性能,RRC重建比质差,质量,11.01,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,低层居民区,120.013,30.278,华为,派单
9月,杭州,富阳,22719,北向性能,RRC重建比质差,质量,12.47,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,村庄,119.796,30.013,华为,派单
10月,杭州,富阳,22719,北向性能,RRC重建比质差,质量,9.56,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,村庄,119.796,30.013,华为,派单
9月,杭州,余杭,22567,北向性能,RRC重建比质差,质量,13.9,高,否,否,否,是,现网,4,6,0.01,数据,室外,室外,星级酒店,119.981,30.234,华为,派单
9月,杭州,富阳,22719,北向性能,RRC重建比质差,质量,14.37,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,119.919,30.174,华为,派单
9月,杭州,西湖,22295,SEQ,CSFB回落质差,质量,74.42,高,否,否,否,是,现网,5,3,0.01,语音,室分,室内,商业中心,120.09,30.311,华为,派单
7月,杭州,萧山,22555,北向性能,无线接通质差,质量,96.53,高,否,否,否,是,现网,4,6,0,数据,室外,室外,村庄,120.301,30.179,华为,派单
7月,杭州,萧山,22288,北向性能,VOLTE掉话质差,感知,2.21,高,否,否,否,是,现网,3,3,0,语音,室分,室内,高层居民区,120.46,30.226,华为,派单
9月,杭州,余杭,22716,SEQ,CSFB回落质差,质量,95.11,高,否,否,否,是,现网,3,15,0.03,语音,室外,室外,郊区道路,120.032,30.244,华为,派单
9月,杭州,余杭,22716,SEQ,CSFB回落质差,质量,93.39,高,否,否,否,是,现网,5,15,0.01,语音,室外,室外,郊区道路,120.032,30.244,华为,派单
10月,杭州,余杭,22716,SEQ,CSFB回落质差,质量,94.13,高,否,否,否,是,现网,6,21,0.02,语音,室外,室外,郊区道路,120.032,30.244,华为,派单
9月,杭州,拱墅,22705,北向性能,VOLTE丢包质差,质量,5.48,高,否,否,否,是,现网,4,14,0,语音,室外,室外,低层居民区,120.171,30.337,华为,派单
8月,杭州,滨江,22548,北向性能,RRC重建比质差,质量,18.87,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,120.151,30.179,华为,派单
10月,杭州,滨江,22552,北向性能,无线接通质差,质量,96.77,高,否,是,否,是,现网,3,4,0.04,数据,高校,室外,高校,120.155,30.174,华为,派单
9月,杭州,江干,22297,北向性能,RRC重建比质差,质量,16.27,高,否,否,否,是,现网,7,15,0,数据,室外,室外,低层居民区,120.27,30.297,华为,派单
8月,杭州,江干,22297,北向性能,RRC重建比质差,质量,18.18,高,否,否,否,是,现网,7,18,0,数据,室外,室外,低层居民区,120.27,30.297,华为,派单
7月,杭州,上城,22528,北向性能,无线接通质差,质量,96.76,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,低层居民区,120.164,30.241,华为,派单
9月,杭州,滨江,22457,北向性能,VOLTE丢包质差,质量,5.79,高,否,否,否,是,现网,4,4,0.01,语音,室外,室外,写字楼,120.191,30.187,华为,派单
8月,杭州,滨江,22457,北向性能,VOLTE丢包质差,质量,8.56,高,否,否,否,是,现网,5,8,0.01,语音,室外,室外,写字楼,120.191,30.187,华为,派单
8月,杭州,滨江,22457,北向性能,VOLTE丢包质差,质量,4.43,高,否,否,否,是,现网,3,4,0.01,语音,室外,室外,写字楼,120.191,30.187,华为,派单
